Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Savings
good,9,rent,60,30,married,no_rec,freelance,73,129,0,0,800,846,4.2
good,17,rent,60,58,widow,no_rec,fixed,48,131,0,0,1000,1658,4.98
bad,10,owner,36,46,married,yes_rec,freelance,90,200,3000,0,2000,2985,1.98
good,0,rent,60,24,single,no_rec,fixed,63,182,2500,0,900,1325,7.93
good,0,rent,36,26,single,no_rec,fixed,46,107,0,0,310,910,7.08
good,1,owner,60,36,married,no_rec,fixed,75,214,3500,0,650,1645,12.83
good,29,owner,60,44,married,no_rec,fixed,75,125,10000,0,1600,1800,1.88
good,9,parents,12,27,single,no_rec,fixed,35,80,0,0,200,1093,2.7
good,0,owner,60,32,married,no_rec,freelance,90,107,15000,0,1200,1957,0.85
bad,0,parents,48,41,married,no_rec,,90,80,0,0,1200,1468,-0.4
good,6,owner,48,34,married,no_rec,freelance,60,125,4000,0,1150,1577,2.71
good,7,owner,36,29,married,no_rec,fixed,60,121,3000,0,650,915,3.38
good,8,owner,60,30,married,no_rec,fixed,75,199,5000,2500,1500,1650,3.96
good,19,priv,36,37,married,no_rec,fixed,75,170,3500,260,600,940,5.54
bad,0,other,18,21,single,yes_rec,partime,35,50,0,0,400,500,0.68
good,0,owner,24,68,married,no_rec,fixed,75,131,4162,0,900,1186,1.49
good,15,priv,24,52,single,no_rec,freelance,35,330,16500,0,1500,2201,4.72
good,33,rent,24,68,married,no_rec,freelance,65,200,5000,2000,600,1350,4.6
bad,0,ignore,48,36,married,no_rec,partime,45,130,750,0,1100,1511,3.71
good,1,parents,60,31,single,no_rec,,35,137,0,0,1250,1253,4.9
bad,2,rent,60,25,single,no_rec,fixed,46,107,0,0,1500,2189,2.44
good,5,owner,60,22,single,no_rec,fixed,45,324,10000,0,1100,1159,15.22
bad,1,owner,60,45,married,no_rec,partime,105,112,2000,500,,1332,0.2
good,27,rent,,41,married,no_rec,fixed,74,140,0,0,950,1497,4.17
good,26,owner,60,51,married,no_rec,fixed,45,143,3500,0,1350,1357,4.36
good,12,owner,36,54,married,no_rec,fixed,60,130,4000,0,700,2100,3.6
good,19,owner,60,43,single,no_rec,fixed,75,180,4000,0,1000,1070,6.3
good,15,owner,36,43,married,no_rec,fixed,75,251,4000,0,1800,2557,3.52
bad,3,owner,24,23,married,no_rec,fixed,75,85,5000,0,600,1600,0.4
good,4,owner,48,29,married,no_rec,fixed,45,150,5000,3300,1100,1312,3.14
bad,0,owner,36,23,single,no_rec,partime,45,122,,0,400,400,6.93
good,14,priv,24,51,married,no_rec,partime,75,198,1000,0,450,650,6.56
good,10,owner,36,39,married,no_rec,freelance,75,150,3000,0,1000,1394,2.7
good,12,parents,36,35,single,no_rec,fixed,35,170,0,0,1100,1542,4.42
good,32,owner,24,62,married,no_rec,freelance,45,119,8500,0,700,1200,2.54
good,10,owner,24,56,married,no_rec,freelance,45,208,13500,0,500,1560,7.82
good,7,owner,48,32,married,no_rec,fixed,75,115,3000,0,800,1200,2.4
bad,1,,54,36,married,no_rec,fixed,70,99,0,0,950,950,1.65
good,30,owner,60,64,married,no_rec,fixed,45,120,14000,0,1125,1300,4
bad,5,rent,48,31,single,no_rec,fixed,44,90,0,0,1300,1700,1.7
good,24,owner,60,42,married,no_rec,fixed,75,137,4000,0,900,1167,4.13
good,0,owner,60,61,widow,no_rec,others,35,230,50000,0,950,1150,12.32
bad,0,owner,60,32,married,yes_rec,fixed,45,142,7000,3000,1250,1566,3.22
bad,2,owner,60,43,married,no_rec,partime,75,71,3000,0,1500,1552,-0.16
good,1,parents,60,26,,no_rec,partime,35,120,0,0,1150,1300,4.43
good,1,owner,,49,widow,no_rec,freelance,35,233,15900,4500,2100,2104,4.37
good,15,owner,36,47,married,no_rec,fixed,75,289,3500,0,1500,,5.14
bad,2,rent,36,27,separated,no_rec,fixed,48,128,0,0,450,545,6.4
good,25,owner,36,52,married,no_rec,freelance,60,150,15000,0,750,1778,4.32
good,8,owner,60,28,married,no_rec,fixed,60,145,4000,1000,1600,1718,2.81
good,5,owner,60,31,married,no_rec,fixed,75,90,4000,0,900,1500,1
good,0,rent,60,32,married,no_rec,fixed,105,301,0,0,1200,1274,9.8
good,5,owner,36,51,married,no_rec,freelance,75,200,2100,1200,900,1015,4.52
good,3,parents,12,37,married,no_rec,freelance,60,150,500,0,500,1701,2.16
bad,1,rent,48,29,married,yes_rec,freelance,85,100,0,0,1000,1345,0.72
good,7,parents,60,26,single,no_rec,fixed,35,100,0,0,1000,1238,3.9
good,4,parents,30,27,single,no_rec,fixed,45,100,5000,0,500,1048,3.3
good,6,owner,24,63,married,no_rec,fixed,60,155,4000,0,600,1048,3.8
good,14,owner,24,55,married,no_rec,fixed,90,715,5000,0,800,1324,18.75
good,3,rent,60,28,married,no_rec,fixed,70,245,0,0,1830,2201,5.74
good,8,rent,48,31,married,no_rec,fixed,90,150,0,0,1100,1430,2.62
bad,4,parents,42,27,single,no_rec,fixed,35,70,0,0,600,926,2.45
good,22,owner,24,40,married,no_rec,fixed,75,190,3000,0,1000,1500,2.76
good,2,owner,36,35,married,no_rec,fixed,75,152,3000,0,1000,1542,2.77
good,15,priv,60,43,married,no_rec,fixed,75,126,3000,0,1350,1360,2.27
good,10,owner,18,34,married,no_rec,freelance,75,181,4000,0,600,1000,3.18
good,4,owner,60,37,married,no_rec,fixed,60,185,3000,0,1200,1564,6.25
good,9,owner,60,53,married,no_rec,fixed,45,170,2500,0,850,1205,8.82
good,22,rent,60,46,married,no_rec,fixed,93,176,7500,0,2000,2200,2.49
good,18,parents,36,36,married,no_rec,freelance,60,238,0,0,900,2214,7.12
good,1,priv,60,46,married,no_rec,fixed,60,115,5500,800,1000,1137,2.82
good,14,owner,48,43,married,no_rec,fixed,45,200,9000,0,600,1025,12.4
good,8,owner,36,31,married,yes_rec,freelance,75,411,9000,4000,800,1593,13.32
good,5,owner,24,43,married,no_rec,fixed,75,93,3000,0,700,1735,0.62
good,19,rent,60,38,married,no_rec,fixed,86,108,0,0,1000,1132,1.32
good,14,owner,12,37,married,no_rec,freelance,90,500,4000,0,500,1338,9.84
good,0,other,36,46,married,yes_rec,others,45,45,0,0,900,1100,0
good,9,rent,36,55,married,no_rec,fixed,70,250,30000,0,1750,2276,3.7
good,29,owner,48,56,married,no_rec,fixed,45,100,3000,0,900,1360,2.93
good,10,owner,36,55,married,no_rec,fixed,60,70,4000,0,1000,1436,0.36
good,10,parents,36,52,married,no_rec,fixed,60,150,0,0,550,612,5.89
bad,1,owner,36,29,married,no_rec,fixed,60,70,4500,0,850,1100,0.42
good,11,owner,60,39,divorced,yes_rec,fixed,35,263,2500,0,1000,1300,13.68
good,10,owner,60,38,married,no_rec,freelance,75,200,9000,0,1000,2089,7.5
good,5,owner,24,24,single,no_rec,fixed,35,78,6000,3000,500,2262,0.62
good,10,rent,60,28,single,no_rec,fixed,47,120,0,0,600,1054,7.3
good,27,owner,60,53,married,no_rec,fixed,60,125,10000,0,1426,1426,2.73
bad,0,rent,60,25,single,no_rec,partime,40,50,0,0,1040,1048,0.58
bad,25,rent,60,62,married,no_rec,fixed,60,146,0,0,1000,1292,5.16
good,3,parents,60,29,single,no_rec,fixed,35,70,0,0,950,1177,2.21
bad,9,parents,60,32,single,yes_rec,fixed,35,105,0,0,1490,1490,2.82
good,4,rent,36,21,married,no_rec,freelance,101,413,6000,0,750,850,14.98
good,6,rent,36,38,married,no_rec,freelance,95,500,25000,21400,800,1011,8.6
good,9,rent,48,56,married,no_rec,freelance,140,350,0,0,1400,1571,7.2
good,3,owner,36,41,married,no_rec,freelance,75,200,3000,0,1000,1000,4.5
bad,22,other,36,46,married,no_rec,fixed,45,138,0,0,250,270,13.39
good,3,owner,60,54,widow,no_rec,others,35,80,4000,0,950,1382,2.84
good,30,owner,36,51,married,no_rec,freelance,120,208,15000,0,1500,1713,2.11
good,8,rent,60,52,married,no_rec,fixed,89,137,4000,0,800,1086,3.6
good,38,owner,48,57,married,no_rec,freelance,45,58,12000,0,1500,3262,0.42
good,2,rent,60,33,married,no_rec,fixed,73,130,0,0,1100,1610,3.11
good,4,owner,60,33,married,no_rec,fixed,75,123,6000,1000,600,1030,3.8
