Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Savings,Status
9.0,rent,60.0,30.0,married,no_rec,freelance,73.0,129.0,0.0,0,800.0,846.0,4.2,good
17.0,rent,60.0,58.0,widow,no_rec,fixed,48.0,131.0,0.0,0,1000.0,1658.0,4.98,good
10.0,owner,36.0,46.0,married,yes_rec,freelance,90.0,200.0,3000.0,0,1000.0,2985.0,4.0,bad
0.0,rent,60.0,24.0,single,no_rec,fixed,63.0,182.0,2500.0,0,900.0,1325.0,7.93,good
0.0,rent,36.0,26.0,single,no_rec,fixed,46.0,107.0,0.0,0,310.0,910.0,7.08,good
1.0,owner,60.0,36.0,married,no_rec,fixed,75.0,214.0,3500.0,0,650.0,1645.0,12.83,good
29.0,owner,60.0,44.0,married,no_rec,fixed,75.0,125.0,10000.0,0,1600.0,1800.0,1.88,good
9.0,parents,12.0,27.0,single,no_rec,fixed,35.0,80.0,0.0,0,200.0,1093.0,2.7,good
0.0,owner,60.0,32.0,married,no_rec,freelance,90.0,107.0,15000.0,0,1200.0,1957.0,0.85,good
0.0,parents,48.0,41.0,married,no_rec,fixed,90.0,80.0,0.0,0,1200.0,1468.0,-0.4,bad
6.0,owner,48.0,34.0,married,no_rec,freelance,60.0,125.0,4000.0,0,1150.0,1577.0,2.71,good
7.0,owner,36.0,29.0,married,no_rec,fixed,60.0,121.0,3000.0,0,650.0,915.0,3.38,good
8.0,owner,60.0,30.0,married,no_rec,fixed,75.0,199.0,5000.0,2500,1500.0,1650.0,3.96,good
19.0,priv,45.0,37.0,married,no_rec,fixed,75.0,170.0,3500.0,260,600.0,940.0,4.0,good
0.0,other,18.0,21.0,single,yes_rec,partime,35.0,50.0,0.0,0,400.0,500.0,0.68,bad
0.0,owner,24.0,68.0,married,no_rec,fixed,75.0,131.0,4162.0,0,900.0,1186.0,1.49,good
15.0,priv,24.0,52.0,single,no_rec,freelance,35.0,330.0,16500.0,0,1500.0,2201.0,4.72,good
33.0,rent,24.0,68.0,married,no_rec,freelance,65.0,200.0,5000.0,2000,600.0,1350.0,4.6,good
0.0,ignore,48.0,36.0,married,no_rec,partime,45.0,130.0,750.0,0,1100.0,1511.0,3.71,bad
1.0,parents,60.0,31.0,single,no_rec,fixed,35.0,137.0,0.0,0,1250.0,1253.0,4.9,good
2.0,rent,60.0,25.0,single,no_rec,fixed,46.0,107.0,0.0,0,1500.0,2189.0,2.44,bad
5.0,owner,60.0,22.0,single,no_rec,fixed,45.0,324.0,10000.0,0,1100.0,1159.0,15.22,good
1.0,owner,60.0,45.0,married,no_rec,partime,105.0,112.0,2000.0,500,1000.0,1332.0,0.2,bad
27.0,rent,45.0,41.0,married,no_rec,fixed,74.0,140.0,0.0,0,950.0,1497.0,4.17,good
26.0,owner,60.0,51.0,married,no_rec,fixed,45.0,143.0,3500.0,0,1350.0,1357.0,4.36,good
12.0,owner,36.0,54.0,married,no_rec,fixed,60.0,130.0,4000.0,0,700.0,2100.0,3.6,good
19.0,owner,60.0,43.0,single,no_rec,fixed,75.0,180.0,4000.0,0,1000.0,1070.0,4.0,good
15.0,owner,36.0,43.0,married,no_rec,fixed,75.0,251.0,4000.0,0,1800.0,2557.0,3.52,good
3.0,owner,24.0,23.0,married,no_rec,fixed,75.0,85.0,5000.0,0,600.0,1600.0,0.4,bad
4.0,owner,48.0,29.0,married,no_rec,fixed,45.0,150.0,5000.0,3300,1100.0,1312.0,3.14,good
0.0,owner,36.0,23.0,single,no_rec,partime,45.0,122.0,3000.0,0,400.0,400.0,6.93,bad
14.0,priv,24.0,51.0,married,no_rec,partime,75.0,198.0,1000.0,0,450.0,650.0,6.56,good
10.0,owner,36.0,39.0,married,no_rec,freelance,75.0,150.0,3000.0,0,1000.0,1394.0,2.7,good
12.0,parents,36.0,35.0,single,no_rec,fixed,35.0,170.0,0.0,0,1100.0,1542.0,4.42,good
32.0,owner,24.0,62.0,married,no_rec,freelance,45.0,119.0,8500.0,0,700.0,1200.0,2.54,good
10.0,owner,24.0,56.0,married,no_rec,freelance,45.0,208.0,13500.0,0,500.0,1560.0,7.82,good
7.0,owner,48.0,32.0,married,no_rec,fixed,75.0,115.0,3000.0,0,800.0,1200.0,2.4,good
1.0,owner,54.0,36.0,married,no_rec,fixed,70.0,99.0,0.0,0,950.0,950.0,1.65,bad
30.0,owner,60.0,64.0,married,no_rec,fixed,45.0,120.0,14000.0,0,1125.0,1300.0,4.0,good
5.0,rent,48.0,31.0,single,no_rec,fixed,44.0,90.0,0.0,0,1300.0,1700.0,1.7,bad
24.0,owner,60.0,42.0,married,no_rec,fixed,75.0,137.0,4000.0,0,900.0,1167.0,4.13,good
0.0,owner,60.0,61.0,widow,no_rec,others,35.0,230.0,50000.0,0,950.0,1150.0,12.32,good
0.0,owner,60.0,32.0,married,yes_rec,fixed,45.0,142.0,7000.0,3000,1250.0,1566.0,3.22,bad
2.0,owner,60.0,43.0,married,no_rec,partime,75.0,71.0,3000.0,0,1500.0,1552.0,-0.16,bad
1.0,parents,60.0,26.0,married,no_rec,partime,35.0,120.0,0.0,0,1150.0,1300.0,4.43,good
1.0,owner,46.0,49.0,widow,no_rec,freelance,35.0,233.0,15900.0,4500,2100.0,2104.0,4.37,good
15.0,owner,36.0,47.0,married,no_rec,fixed,75.0,289.0,3500.0,0,1500.0,1452.0,5.14,good
